StreetName ,Number,,,,,,,
Grójecka 1,,,,,,,,
,,,,,,,,
Location,QuarterName,,,,,,,
bliżej Śródmieścia,,,,,,,,
,,,,,,,,
Location,Artefact,,,,,,,
przy Rynku,,,,,,,,
,,,,,,,,
Location,Artefact,QuarterName,,,,,,
bliżej ulicy Łokietka,,,,,,,,
,,,,,,,,
Location,FirstName,TownNameAttribute,,,,,,
przy ul. Warszawskiej,,,,,,,,
,,,,,,,,
Location,Prep,Location,TownName,,,,,
gdzieś na terenie Lublina,,,,,,,,
,,,,,,,,
Najchętniej,Prep,LocationApr,TownName,,,,,
Najchętniej w centrum Warszawy,,,,,,,,
,,,,,,,,
Quarter,Profession,OrganizationType,,,,,,
dzielnice Stare Miasto,,,,,,,,
,,,,,,,,
QuarterName,,,,,,,,
Żoliborz,,,,,,,,
,,,,,,,,
QuarterName,Bornholm,,,,,,,
na wyspie Borholm,,,,,,,,
,,,,,,,,
Qub,Attr,TownName,prep,jakiej,Quarter,,,
Nie ma różnicy na jakiej dzielnicy,,,,,,,,
,,,,,,,,
StreetName ,Number,Przez,Number,,,,,
Zdrowa 19/8,,,,,,,,
,,,,,,,,
TownName,,,,,,,,
Czechów,,,,,,,,
,,,,,,,,
TownName,DistrictName,Number,,,,,,
"Lublin, Brzeska 20",,,,,,,,
,,,,,,,,
TownName,QuarterName,,,,,,,
"Kraków, Śródmieście",,,,,,,,
,,,,,,,,
TownName,Artefact,Attr,Number,,,,,
"Jędrzychów, ulica Długa 11",,,,,,,,
,,,,,,,,
TownName,Attr,Artefact,TownName,,,,,
"Warszawa, lewa strona Wisły",,,,,,,,
,,,,,,,,
TownName,FirstName,StreetName,Number,Przez,Number,,,
"Jęczydół, ul. Trzech Budrysów 13/37",,,,,,,,
,,,,,,,,
TownName,Prep,TownName,,,,,,
"Wrocław,na Gaju",,,,,,,,
,,,,,,,,
TownName,TownName,Service,Location,StreetName,Number,Artefact,Location,
Warszawa Ursynów¶mieszkam przy KEN 91¶jak najbliżej,,,,,,,,
,,,,,,,,
TownName,FirstName,TownNameAttr,,,,,,
Kielce¶ul. Warszawska,,,,,,,,
,,,,,,,,
TownName,FirstName,TownNameAttr,Number,,,,,
Kielce ul. Warszawska 13,,,,,,,,
,,,,,,,,
jakiejs,Attr,LocationApr,,,,,,
jakiejs innej okolicy,,,,,,,,
,,,,,,,,
Najchętniej,Prep,LocationApr,TownName,TownName,,,,
najchętniej w okolicach Pragi Południe,,,,,,,,
,,,,,,,,
najchętniej,Prep,Artefact,,,,,,
najchętniej na Wrzecionie,,,,,,,,
,,,,,,,,
Artefact,Location,,,,,,,
ulica Bliska,,,,,,,,
,,,,,,,,
Artefact,Artefact,StreetName,,,,,,
od ulicy Kosmatki,,,,,,,,
,,,,,,,,
Attitude.interj,Location,Prep,LocationApr,np.,LocationApr,FirstName,,
"najlepiej gdzieś w centrum, np. okolice Kazimierza",,,,,,,,
,,,,,,,,
Attitude.Interj,Prep,LocationApr,LocationApr,Conj,QuarterName,,,
najlepiej w okolicach Centrum lub Ochoty,,,,,,,,
,,,,,,,,
Attitude.Interj,Prep,LocationApr,TownName,,,,,
Najlepiej w okolicy Woli,,,,,,,,
,,,,,,,,
Attitude.Interj,Prep,LocationApr,Artefact,,,,,
Najlepiej w okolicach Ogrodów,,,,,,,,
,,,,,,,,
Attitude.interj,Prep,LocationApr,Attr,Location,zatem,Artefact,QuarterName,
"Najlepiej w okolicach mojego miejsca zamieszkania, zatem ulicy Sobieskiego",,,,,,,,
,,,,,,,,
Attitude.interj,Prep,LocationApr,Instance,Attr,Location,,,
najlepiej w okolicach miejsca mojego zamieszkania,,,,,,,,
,,,,,,,,
Attitude.interj,Prep,Quarter,QuarterName,,,,,
Najlepiej w dzielnicy Mokotów,,,,,,,,
,,,,,,,,
Attitude.interj,Prep,SpatialRelation,Artefact,TownName,Prep,LocationApr,Location,TownName
najlepiej w południowej części Krakowa. W okolicach osiedla Ruczaj,,,,,,,,
,,,,,,,,
Attitude.interj,Prep,OrganizationType,QuarterName,,,,,
najlepiej na Uniwersytecie Warszawskim,,,,,,,,
,,,,,,,,
Attr,,,,,,,,
najbliższego,,,,,,,,
,,,,,,,,
Attr,LocationApr,,,,,,,
tej okolicy,,,,,,,,
,,,,,,,,
BodyPart,Spelling,LocationApr,,,,,,
Błonie i okolice,,,,,,,,
,,,,,,,,
DistrictName,Number,number,number,service,,,,
"ul. Głogowska 435, 61-043 Poznań",,,,,,,,
,,,,,,,,
FirstName,DistrictName,Number,TownName,,,,,
"ul. Puławska 87, Warszawa",,,,,,,,
,,,,,,,,
FirstName,DistrictName,TownName,Number,Przez,Number,,,
ul. Krakowskie Przedmieście 26/28,,,,,,,,
,,,,,,,,
FirstName,StreetName,Number,,,,,,
ul. Pułsdsawska 87,,,,,,,,
,,,,,,,,
FirstName,StreetName,Number,Service,Number,,,,
ul. Piwna 44¶mieszkania 42,,,,,,,,
,,,,,,,,
FirstName,TownName,Number,przez,Number,,,,
ul. Malinowa 14/8,,,,,,,,
,,,,,,,,
FirstName,TownNameAttr,Number,Donów,Number,kilometrów,Artefact,TownName,
"ul. Szkolna 7, Donów, 50 km od Błoń",,,,,,,,
,,,,,,,,
FirstName,StreetName,Number,Number,Number,,,,
"ul. Bora-Komorowskiego 38, 03-744",,,,,,,,
,,,,,,,,
OrganizationType,,,,,,,,
miasto,,,,,,,,
,,,,,,,,
Prep,,,,,,,,
W-wa,,,,,,,,
,,,,,,,,
Prep,StreetName,I,StreetName,,,,,
na Czarnowiejskiej i Marii Skłodowskiej-Curie,,,,,,,,
,,,,,,,,
Prep,DistrictName,,,,,,,
na Strzelecką,,,,,,,,
,,,,,,,,
Prep,Location,QuarterName,,,,,,
na osiedlu Winogrady,,,,,,,,
,,,,,,,,
Prep,Location,TownName,,,,,,
na terenie lublina,,,,,,,,
,,,,,,,,
Prep,Location,TownName,ewentualnie,Prep,jej,Location,LocationApr,
